x,WaferMPW41_slot11_thinresist_strip_Chip1_WG1,WaferMPW41_slot11_thinresist_strip_Chip1_WG2,WaferMPW41_slot11_thinresist_strip_Chip1_WG3,WaferMPW41_slot11_thinresist_strip_Chip1_WG4,WaferMPW41_slot11_thinresist_strip_Chip1_WG5,WaferMPW41_slot11_thinresist_strip_Chip1_WG6,WaferMPW41_slot11_thinresist_strip_Chip33_WG1,WaferMPW41_slot11_thinresist_strip_Chip33_WG2,WaferMPW41_slot11_thinresist_strip_Chip33_WG3,WaferMPW41_slot11_thinresist_strip_Chip33_WG4,WaferMPW41_slot11_thinresist_strip_Chip33_WG5,WaferMPW41_slot11_thinresist_strip_Chip33_WG6
1530.03,,,,,,,,,,2.71199923e-7,,
1530.0403000000001,,,,,,9.9689565e-8,,,,,,
1530.0406,,,,,,,,,,,1.762343089e-7,
1530.0411,9.157291743e-7,,,,,,,,,,,
1530.0413,,,,,,,8.406349252e-7,,,,,7.10741332e-8
1530.0414,,,,1.4583172e-7,,,,,,,,
1530.0418,,5.348982768e-7,3.310737497e-7,,,,,,,,,
1530.0421,,,,,1.58886607e-7,,,5.849577747e-7,,,,
1530.0423,,,,,,,,,3.310737497e-7,2.919472024e-7,,
1530.0510000000002,,,,,,1.47439934e-7,,,,,,
1530.0513,,,,,,,,,,,1.579918916e-7,
1530.0517000000002,9.193016695e-7,,,,,,,,,,,
1530.0519,,,,1.06127878e-7,,,,,,,,
1530.0521,,,,,,,8.477862821e-7,,,,,8.25202378e-8
1530.0524,,5.241744248e-7,3.25711369e-7,,,,,,,,,
1530.0527000000002,,,,,1.229397384e-7,,,5.70660518e-7,,,,
1530.0529999999999,,,,,,,,,3.310737497e-7,,,
1530.0531,,,,,,,,,,2.665509271e-7,,
1530.0616,,,,,,1.10598954e-7,,,,,,
1530.0618000000002,,,,,,,,,,,1.279474162e-7,
1530.0625,9.443318731e-7,,,9.11049582e-8,,,,,,,,
1530.0627,,,,,,,8.620917242e-7,,,,,7.75124462e-8
1530.063,,5.456239478e-7,3.364361305e-7,,,,,,,,,
1530.0633,,,,,1.08631717e-7,,,5.670807468e-7,,,,
1530.0634,,,,,,,,,3.668314434e-7,,,
1530.0635000000002,,,,,,,,,,2.279193012e-7,,
1530.0736000000002,,,,,,1.317018103e-7,,,,,,
1530.0738999999999,,,,,,,,,,,1.685436217e-7,
1530.0743000000002,9.371786973e-7,,,,,,,,,,,
1530.0744,,,,1.442221418e-7,,,8.728155763e-7,,,,,
1530.0745,,,,,,,,,,,,6.87495785e-8
1530.0747000000001,,5.527753046e-7,3.650451958e-7,,,,,,,,,
1530.075,,,,,,,,5.59927571e-7,,,,
1530.0751,,,,,1.637144322e-7,,,,,,,
1530.0753,,,,,,,,,,2.386512676e-7,,
1530.0755000000001,,,,,,,,,3.918643756e-7,,,
1530.0855000000001,,,,,,1.547722803e-7,,,,,,
1530.0858,,,,,,,,,,,1.726565841e-7,
1530.0861,9.228750741e-7,,,,,,,,,,,
1530.0863,,,,1.58886607e-7,,,,,,,,
1530.0864,,,,,,,8.799687521e-7,,,,,
1530.0865000000001,,,3.864983569e-7,,,,,,,,,8.80644038e-8
1530.0866,,5.635082516e-7,,,,,,,,,,
1530.0869,,,,,1.397510658e-7,,,5.456239478e-7,,,,
1530.0872000000002,,,,,,,,,,2.826448906e-7,,
1530.0874000000001,,,,,,,,,3.954405088e-7,,,
1530.0955,,,,,,1.241912031e-7,,,,,,
1530.0956,,,,,,,,,,,1.390341566e-7,
1530.096,9.514841395e-7,,,,,,,,,,,
1530.0964000000001,,,,1.254426678e-7,,,,,,,,
1530.0964999999999,,,,,,,8.781788665e-7,,,,,7.01801e-8
1530.0967,,5.867476602e-7,,,,,,,,,,
1530.0968,,,3.68621329e-7,,1.029082668e-7,,,,,,,
1530.0972,,,,,,,,5.366881624e-7,,2.847917528e-7,,
1530.0974,,,,,,,,,3.954405088e-7,,,
1530.1028,,,,,,1.057695371e-7,,,,,,
1530.1031,,,,,,,,,,,1.097041249e-7,
1530.1034,9.300273405e-7,,,,,,,,,,,
1530.1039,,6.046310546e-7,,,,,,,,,,
1530.104,,,,1.100624658e-7,,,8.924824897e-7,,,,,5.73035486e-8
1530.1042,,,3.525305488e-7,,,,,,,,,
1530.1045,,,,,9.66492379e-8,,,5.134414778e-7,,,,
1530.1046000000001,,,,,,,,,,2.543887092e-7,,
1530.1049,,,,,,,,,3.918643756e-7,,,
1530.1100000000001,,,,,,1.515544881e-7,,,,,,
1530.1102,,,,,,,,,,,1.617481047e-7,
1530.1106000000002,9.193016695e-7,,,,,,,,,,,
1530.111,,,,8.35933278e-8,,,,,,,,8.41300434e-8
1530.1111,,5.92110041e-7,,,,,,,,,,
1530.1113,,,3.507406632e-7,,,,9.121494031e-7,,,,,
1530.1115,,,,,,,,4.902020692e-7,,,,
1530.1118,,,,,1.343848197e-7,,,,3.757735954e-7,2.241646797e-7,,
1530.1197,,,,,,9.89737927e-8,,,,,,
1530.1199,,,,,,,,,,,1.599598107e-7,
1530.1203,9.210924645e-7,,,,,,,,,,,6.15954932e-8
1530.1205,,,,1.37604431e-7,,,,,,,,
1530.1208000000001,,6.314438679e-7,,,,,9.157291743e-7,,,,,
1530.121,,,3.167692171e-7,,,,,,,,,
1530.1212,,,,,1.39214464e-7,,,4.794709412e-7,,,,
1530.1213,,,,,,,,,,2.363246239e-7,,
1530.1214,,,,,,,,,3.668314434e-7,,,
1530.1316,,,,,,1.00761973e-7,,,,,1.123871343e-7,
1530.1322,9.282447309e-7,,,,,,,,,,,
1530.1324,,,,,,,,,,,,7.05375314e-8
1530.1325000000002,,,,1.533425547e-7,,,,,,,,
1530.1326000000001,,,,,,,9.246649597e-7,,,,,
1530.1329,,6.117769544e-7,,,,,,,,,,
1530.1331,,,3.310737497e-7,,9.7722328e-8,,,4.776883316e-7,,,,
1530.1332000000002,,,,,,,,,,2.779956674e-7,,
1530.1333,,,,,,,,,3.775598429e-7,,,
1530.1426000000001,,,,,,1.619261383e-7,,,,,,
1530.1428,,,,,,,,,,,1.399293268e-7,
1530.143,8.620917242e-7,,,,,,,,,,,
1530.1434000000002,,,,1.129237361e-7,,,,,,,,7.84065932e-8
1530.1435999999999,,6.171457017e-7,,,,,9.336062021e-7,,,,,
1530.1439,,,3.668314434e-7,,,,,,,,,
1530.1442,,,,,,,,4.902020692e-7,,,,
1530.1443,,,,,1.17037267e-7,,,,,,,
1530.1444000000001,,,,,,,,,,2.831833115e-7,,
1530.1445,,,,,,,,,3.864983569e-7,,,
1530.1522,,,,,,8.69913137e-8,,,,,,
1530.1527,,,,,,,,,,,1.628213084e-7,
1530.153,8.746054618e-7,,,,,,,,,,,
1530.1531,,,,,,,,,,,,5.28324726e-8
1530.1532,,,,1.032656982e-7,,,,,,,,
1530.1535000000001,,5.903274314e-7,,,,,9.443318731e-7,,,,,
1530.1536999999998,,,3.936506232e-7,,,,,,,,,
1530.1541000000002,,,,,,,,5.045066018e-7,,,,
1530.1542000000002,,,,,1.465465829e-7,,,,,,,
1530.1543,,,,,,,,,3.793497285e-7,,,
1530.1545,,,,,,,,,,2.463415001e-7,,
1530.1631,,,,,,1.299137438e-7,,,,,,
